,F50FHur,F55FHur,F60FHur,FShortHur,FLongHur,FSteeple.,F1500mWalk,FMileWalk,F3kmWalk,F5kmWalk,F8kmWalk,F10kmWalk,F15kmWalk,F20kmWalk,FH.Mar.Walk,F25kmWalk,F30kmWalk,F40kmWalk,FMar.Walk,F50kmWalk,FHighJump,FPoleVault,FLongJump,FTripleJump,FHammer,FShotput,FDiscus,FJavelin,FWeight,F50m,F55m,F60m,F100m,F200m,F300m,F400m,F500m,F600m,F800m,F1000m,F1500m,Fmile,F2km,F3km,F2Mile,F4km,F3Mile,F5km,F6km,F4Mile,F8km,F5Mile,F10km
Event,50Hur,55Hur,60Hur,ShortHur,LongHur,Steeple,1500mWalk,1MileWalk,3kmWalk,5kmWalk,8kmWalk,10kmWalk,15kmWalk,20kmWalk,H.Mar.Walk,25kmWalk,30kmWalk,40kmWalk,Mar.Walk,50kmWalk,HighJump,PoleVault,LongJump,TripleJump,Hammer,Shotput,Discus,Javelin,Weight,50m,55m,60m,100m,200m,300m,400m,500m,600m,800m,1000m,1500m,1Mile,2km,3km,2Mile,4km,3Mile,5km,6km,4Mile,8km,5Mile,10km
72,0.655,0.655,0.655,0.7046,0.8936,0.8937,0.7035,0.7024,0.6915,0.6809,0.6697,0.6639,0.6526,0.6439,0.6423,0.6369,0.6309,0.6211,0.6192,0.6131,1.7417,2.4408,1.812,1.8563,2.0727,2.2406,2.1591,2.3518,1.7277,0.6984,0.6984,0.6984,0.689,0.6732,0.6525,0.6317,0.6251,0.6186,0.6054,0.6054,0.6054,0.6062,0.6087,0.6135,0.6143,0.617,0.6194,0.6198,0.6208,0.6211,0.6224,0.6225,0.624
73,0.6446,0.6446,0.6446,0.6867,0.875,0.8749,0.6938,0.6926,0.6812,0.6701,0.6585,0.6525,0.6408,0.632,0.6303,0.6247,0.6186,0.6085,0.6066,0.6004,1.7712,2.5245,1.8477,1.8926,2.1365,2.3068,2.2248,2.4212,1.7811,0.6895,0.6895,0.6895,0.6798,0.6673,0.6422,0.6171,0.6104,0.6038,0.5904,0.5916,0.5947,0.5955,0.598,0.6026,0.6034,0.606,0.6084,0.6088,0.6096,0.6099,0.6111,0.6111,0.6125
74,0.635,0.635,0.635,0.669,0.8569,0.8569,0.6839,0.6827,0.6708,0.6592,0.6472,0.641,0.629,0.6199,0.6181,0.6124,0.6062,0.5958,0.5939,0.5875,1.8174,2.6142,1.8894,1.9327,2.2044,2.3746,2.2953,2.4957,1.838,0.6807,0.6807,0.6807,0.6705,0.6613,0.6319,0.6024,0.5956,0.5889,0.5753,0.5778,0.584,0.5848,0.5872,0.5917,0.5925,0.5951,0.5974,0.5978,0.5985,0.5987,0.5997,0.5998,0.601
75,0.6252,0.6252,0.6252,0.6512,0.8397,0.8397,0.6739,0.6727,0.6602,0.6482,0.6357,0.6294,0.617,0.6076,0.6058,0.6,0.5936,0.583,0.581,0.5745,1.8456,2.7105,1.9285,1.972,2.2766,2.4468,2.37,2.5749,1.8972,0.6718,0.6718,0.6718,0.6612,0.6553,0.6215,0.5877,0.5809,0.574,0.5603,0.564,0.5733,0.5741,0.5764,0.5808,0.5816,0.5841,0.5864,0.5868,0.5873,0.5875,0.5884,0.5884,0.5895
76,0.6123,0.6123,0.6123,0.6271,0.8193,0.8193,0.6638,0.6625,0.6495,0.637,0.6242,0.6176,0.6049,0.5953,0.5934,0.5875,0.5809,0.5701,0.568,0.5613,1.8829,2.8142,1.9789,2.0156,2.354,2.5229,2.4498,2.6594,1.9618,0.6633,0.6633,0.6633,0.6538,0.6428,0.6094,0.5759,0.5687,0.5615,0.547,0.5515,0.5627,0.5634,0.5657,0.57,0.5707,0.5732,0.5753,0.5757,0.5762,0.5763,0.5771,0.5771,0.578
77,0.5998,0.5998,0.5998,0.603,0.7999,0.8,0.6536,0.6522,0.6386,0.6258,0.6125,0.6057,0.5927,0.5828,0.5809,0.5748,0.5681,0.557,0.5549,0.548,1.9174,2.9261,2.0324,2.0584,2.4367,2.6071,2.5355,2.7485,2.0292,0.6547,0.6547,0.6547,0.6465,0.6303,0.5973,0.5642,0.5566,0.5489,0.5336,0.5389,0.552,0.5527,0.5549,0.5591,0.5598,0.5622,0.5643,0.5647,0.565,0.5651,0.5657,0.5657,0.5665
78,0.5879,0.5879,0.5879,0.5789,0.7815,0.7815,0.6433,0.6418,0.6277,0.6144,0.6007,0.5937,0.5803,0.5702,0.5683,0.562,0.5551,0.5438,0.5416,0.5347,1.9533,3.0473,2.0889,2.106,2.5254,2.694,2.6265,2.8449,2.1034,0.6462,0.6462,0.6462,0.6391,0.6178,0.5851,0.5524,0.5444,0.5364,0.5203,0.5263,0.5413,0.542,0.5442,0.5482,0.5489,0.5513,0.5533,0.5537,0.5539,0.5539,0.5544,0.5544,0.555
79,0.5765,0.5765,0.5765,0.555,0.7639,0.7639,0.6328,0.6313,0.6166,0.6028,0.5888,0.5816,0.5679,0.5575,0.5555,0.5491,0.542,0.5305,0.5283,0.5211,2.0096,3.179,2.1486,2.1528,2.6208,2.7869,2.7253,2.9483,2.1811,0.6376,0.6376,0.6376,0.6318,0.6053,0.573,0.5407,0.5323,0.5238,0.5069,0.5137,0.5306,0.5313,0.5334,0.5373,0.538,0.5401,0.5419,0.5422,0.5426,0.5427,0.543,0.543,0.5435
80,0.5654,0.5654,0.5654,0.5309,0.747,0.747,0.6222,0.6206,0.6054,0.5912,0.5767,0.5694,0.5553,0.5447,0.5426,0.5361,0.5288,0.517,0.5148,0.5075,2.0431,3.3226,2.2118,2.2048,2.7235,2.8876,2.4063,3.059,2.2667,0.6291,0.6291,0.6291,0.6244,0.5928,0.5609,0.5289,0.5201,0.5113,0.4936,0.5011,0.5199,0.5206,0.5225,0.5257,0.5263,0.528,0.5294,0.5297,0.5305,0.5309,0.5315,0.5315,0.532
81,0.5477,0.5477,0.5477,0.5152,0.7221,0.7221,0.6115,0.6098,0.5941,0.5794,0.5645,0.557,0.5425,0.5317,0.5296,0.5229,0.5155,0.5034,0.5011,0.4937,2.09,3.4797,2.2788,2.2694,2.8351,2.9974,2.5041,3.1781,2.3576,0.6206,0.6206,0.6206,0.6071,0.5759,0.5457,0.5155,0.5068,0.4982,0.4808,0.4888,0.5087,0.5091,0.5106,0.5131,0.5135,0.5149,0.516,0.5161,0.5174,0.518,0.519,0.519,0.52
82,0.5311,0.5311,0.5311,0.4994,0.6988,0.6988,0.6006,0.5989,0.5826,0.5675,0.5522,0.5445,0.5297,0.5186,0.5165,0.5096,0.5021,0.4898,0.4874,0.4799,2.1327,3.6525,2.35,2.3414,2.9559,3.1128,2.6096,3.3077,2.4583,0.612,0.612,0.612,0.5898,0.5589,0.5306,0.5022,0.4937,0.4851,0.468,0.4761,0.4962,0.4965,0.4976,0.4993,0.4997,0.5007,0.5015,0.5016,0.5033,0.5041,0.5055,0.5055,0.507
83,0.5154,0.5154,0.5154,0.4838,0.677,0.677,0.5896,0.5879,0.5711,0.5555,0.5398,0.5319,0.5167,0.5054,0.5032,0.4962,0.4885,0.4759,0.4735,0.4658,2.1771,3.8433,2.4258,2.4181,3.0874,3.2375,2.7244,3.4483,2.5652,0.6035,0.6035,0.6035,0.5725,0.542,0.5154,0.4888,0.4804,0.472,0.4552,0.463,0.4825,0.4827,0.4834,0.4845,0.4848,0.4855,0.4861,0.4861,0.4882,0.4893,0.491,0.491,0.493
84,0.5007,0.5007,0.5007,0.4678,0.6565,0.6565,0.5785,0.5767,0.5594,0.5434,0.5273,0.5192,0.5036,0.492,0.4898,0.4827,0.4748,0.462,0.4596,0.4517,2.2234,4.0551,2.5067,2.496,3.2312,3.3726,2.8508,3.6014,2.6849,0.5949,0.5949,0.5949,0.5552,0.525,0.5003,0.4755,0.4672,0.459,0.4424,0.4496,0.4676,0.4678,0.4682,0.4686,0.4688,0.4693,0.4696,0.4696,0.472,0.4734,0.4755,0.4756,0.478
85,0.4867,0.4867,0.4867,0.4522,0.6372,0.6372,0.5673,0.5655,0.5476,0.5311,0.5146,0.5063,0.4904,0.4786,0.4763,0.469,0.461,0.4479,0.4455,0.4375,2.2879,4.2917,2.5931,2.5833,3.3886,3.5222,2.9886,3.7672,2.8149,0.5864,0.5864,0.5864,0.5379,0.5081,0.4851,0.4621,0.454,0.4459,0.4296,0.4359,0.4515,0.4516,0.4517,0.4517,0.4518,0.4521,0.4522,0.4521,0.4549,0.4565,0.459,0.4591,0.462
